cell_kind,calib_policy,eval_policy,alpha,delta,perturbation,n_eval,n_oracle,mc_seed,cvar_truth,cvar_est,cvar_ci_lo,cvar_ci_hi,ci_covers_truth,audit_p,audit_reject,audit_p_xf,audit_reject_xf,t_hat,runtime_sec
size_diagnostic,base,base,0.1,0.0,none,2000,500,73,0.24911746000684898,0.26040397517245284,0.2238630257370331,0.31089305887843266,true,0.0010710305829584321,true,0.34388515972774436,false,0.37970000000000004,1.7021729946136475
size_diagnostic,base,base,0.1,0.0,none,2000,500,74,0.24911746000684898,0.25285450112589836,0.21979489488532472,0.28634555079166146,true,0.12153382165148385,false,0.6931068162581204,false,0.365,1.6981711387634277
size_diagnostic,base,base,0.1,0.0,none,2000,500,75,0.24911746000684898,0.24082104526329898,0.20330490424478367,0.28247616948937726,true,0.986630923229742,false,0.997719472582802,false,0.375,1.6234979629516602
size_diagnostic,base,base,0.1,0.0,none,2000,500,76,0.24911746000684898,0.256806363229647,0.21870099733695159,0.28581506526599537,true,2.1387813742279604e-8,true,0.07623362300334757,false,0.3466666666666666,1.7494580745697021
size_diagnostic,base,base,0.1,0.0,none,2000,500,77,0.24911746000684898,0.2293565135382233,0.1949008287160649,0.262842083636035,true,9.433696623872834e-8,true,0.03754974066121708,true,0.32466666666666666,1.7230191230773926
size_diagnostic,base,base,0.1,0.0,none,2000,500,78,0.24911746000684898,0.26732248111124457,0.2290705416567727,0.3074461707472007,true,0.07320208193905642,false,0.5473809745593204,false,0.40499999999999997,1.7487049102783203
size_diagnostic,base,base,0.1,0.0,none,2000,500,79,0.24911746000684898,0.21252417666019507,0.18439396233783936,0.26017319569141,true,0.01913110291481357,true,0.5093883060474587,false,0.3340000000000001,1.7128419876098633
size_diagnostic,base,base,0.1,0.0,none,2000,500,84,0.24911746000684898,0.27017753386492216,0.2232231618072288,0.31612825428089547,true,0.0032973929723411066,true,0.27766621108625367,false,0.44600000000000006,1.8306221961975098
size_diagnostic,base,base,0.1,0.0,none,2000,500,85,0.24911746000684898,0.23435441607201535,0.20055601178430432,0.27246847615540937,true,0.9930123205040439,false,0.998437615007158,false,0.3625533333333335,1.6856660842895508
size_diagnostic,base,base,0.1,0.0,none,2000,500,86,0.24911746000684898,0.22898003209069545,0.19808827017234326,0.2822772938043739,true,0.0013196381729614348,true,0.3814103911209096,false,0.3338933333333333,1.7313652038574219
size_diagnostic,base,base,0.1,0.0,none,2000,500,87,0.24911746000684898,0.23200948669030036,0.19600096869131706,0.2696243137390672,true,0.655088360555043,false,0.9180631168462713,false,0.355,1.6711649894714355
size_diagnostic,base,base,0.1,0.0,none,2000,500,80,0.24911746000684898,0.26069082707343183,0.21318922932845327,0.3174256822786262,true,0.03052256137146392,true,0.6561564869810554,false,0.39499999999999996,1.840118646621704
size_diagnostic,base,base,0.1,0.0,none,2000,500,81,0.24911746000684898,0.2272580018251461,0.18735732793964907,0.27527940051402566,true,0.4553217931299385,false,0.8291574598252277,false,0.38970000000000005,1.7096991539001465
size_diagnostic,base,base,0.1,0.0,none,2000,500,82,0.24911746000684898,0.248862170610339,0.21484222213850387,0.2937376711108265,true,0.17122653117556075,false,0.683076609858221,false,0.36066666666666664,1.696293830871582
size_diagnostic,base,base,0.1,0.0,none,2000,500,83,0.24911746000684898,0.2193838605231351,0.1769156342057665,0.27328254602499663,true,0.019248255039219897,true,0.5780702514445757,false,0.36479999999999996,1.680060863494873
size_diagnostic,base,base,0.1,0.0,none,2000,500,88,0.24911746000684898,0.26227001935871613,0.23169610020159095,0.29878402024643025,true,0.6126607455219173,false,0.86346517385896,false,0.39999999999999997,1.7771649360656738
size_diagnostic,base,base,0.1,0.0,none,2000,500,89,0.24911746000684898,0.2534103941528004,0.21691113004145837,0.29365462255514374,true,0.19771139591177067,false,0.7952054298884661,false,0.37989999999999996,1.628054141998291
size_diagnostic,base,base,0.1,0.0,none,2000,500,90,0.24911746000684898,0.26022695333036605,0.22293625048546453,0.30096760372261316,true,0.5948600810049283,false,0.9157595728304253,false,0.38970000000000005,1.753814935684204
size_diagnostic,base,base,0.1,0.0,none,2000,500,91,0.24911746000684898,0.22856490067314156,0.20054705354567692,0.2697518428529077,true,0.07853345522983168,false,0.6538717549140367,false,0.3245599999999999,1.709233045578003
size_diagnostic,base,base,0.1,0.0,none,2000,500,92,0.24911746000684898,0.23670823706489463,0.2053656121420697,0.271058188708641,true,0.159803626324462,false,0.6741935615264968,false,0.3511199999999999,1.706482172012329
