config_id,estimator,variance,ci,policy,n_oracle,rep,v_hat,truth,ci_lo,ci_hi
1,plug_in,if,wald,uniform,50,118,0.4616206308540112,0.5,0.45091189826998557,0.4723293634380369
1,plug_in,if,wald,uniform,50,119,0.5595356332214544,0.5,0.5500083658237322,0.5690629006191765
1,plug_in,if,wald,uniform,50,120,0.496523765089105,0.5,0.48553857489953295,0.507508955278677
1,plug_in,if,wald,uniform,50,121,0.5622488610553432,0.5,0.5517407793564573,0.5727569427542292
1,plug_in,if,wald,uniform,50,122,0.4559753142839769,0.5,0.44530058705106307,0.46665004151689077
1,plug_in,if,wald,uniform,50,123,0.48022479831690157,0.5,0.46903075554884555,0.4914188410849576
1,plug_in,if,wald,uniform,50,108,0.5084170551077779,0.5,0.4976049879191915,0.5192291222963643
1,plug_in,if,wald,uniform,50,109,0.5324794537640101,0.5,0.5209283110717329,0.5440305964562873
1,plug_in,if,wald,uniform,50,110,0.5003571326876557,0.5,0.48861668525156343,0.512097580123748
1,plug_in,if,wald,uniform,50,111,0.4744943349562791,0.5,0.46252024258093727,0.4864684273316209
1,plug_in,if,wald,uniform,50,112,0.5390881753515874,0.5,0.528879584329531,0.5492967663736438
1,plug_in,if,wald,uniform,50,113,0.5177690163292016,0.5,0.5076939175282382,0.5278441151301649
1,plug_in,if,wald,uniform,50,114,0.4947740758060394,0.5,0.48406412411772165,0.5054840274943571
1,plug_in,if,wald,uniform,50,115,0.48780787406602893,0.5,0.4768613911210037,0.4987543570110542
1,plug_in,if,wald,uniform,50,128,0.5008027466833621,0.5,0.4882294735262591,0.5133760198404651
1,plug_in,if,wald,uniform,50,129,0.497290306946472,0.5,0.4862312803466921,0.508349333546252
1,plug_in,if,wald,uniform,50,130,0.5201540461572532,0.5,0.5101702476017969,0.5301378447127096
1,plug_in,if,wald,uniform,50,131,0.5288863363378342,0.5,0.5176130074271041,0.5401596652485643
1,plug_in,if,wald,uniform,50,132,0.5237936078965038,0.5,0.5136841652558699,0.5339030505371376
1,plug_in,if,wald,uniform,50,133,0.5056440931547443,0.5,0.4938389965768586,0.5174491897326301
1,plug_in,if,wald,uniform,50,134,0.506166928887475,0.5,0.4944502878625156,0.5178835699124344
1,plug_in,if,wald,uniform,50,135,0.4942578204006098,0.5,0.4827206944359225,0.505794946365297
1,plug_in,if,wald,uniform,50,124,0.5056639294116546,0.5,0.49498202174340195,0.5163458370799073
1,plug_in,if,wald,uniform,50,125,0.48907927128624007,0.5,0.47798646086396646,0.5001720817085137
1,plug_in,if,wald,uniform,50,126,0.45502173489248876,0.5,0.4437375805941193,0.46630588919085825
1,plug_in,if,wald,uniform,50,127,0.5523996346317531,0.5,0.5413653446301946,0.5634339246333117
1,plug_in,if,wald,uniform,50,140,0.48811751248634777,0.5,0.47669598764282606,0.4995390373298695
1,plug_in,if,wald,uniform,50,141,0.48996268470666554,0.5,0.47797067379681524,0.5019546956165158
1,plug_in,if,wald,uniform,50,142,0.4932520741098772,0.5,0.48238118878834396,0.5041229594314105
1,plug_in,if,wald,uniform,50,143,0.5035266397886717,0.5,0.4920983286348122,0.5149549509425313
1,plug_in,if,wald,uniform,50,136,0.5331294455161857,0.5,0.523779841520963,0.5424790495114084
1,plug_in,if,wald,uniform,50,137,0.483917629694163,0.5,0.4730392200050605,0.49479603938326555
1,plug_in,if,wald,uniform,50,138,0.4851832702867947,0.5,0.47426153007925365,0.49610501049433575
1,plug_in,if,wald,uniform,50,139,0.547623706427278,0.5,0.537138303161734,0.5581091096928219
1,plug_in,if,wald,uniform,50,144,0.5022964627984984,0.5,0.4922302575472029,0.5123626680497939
1,plug_in,if,wald,uniform,50,145,0.5226358651342579,0.5,0.5110250935148637,0.534246636753652
1,plug_in,if,wald,uniform,50,146,0.4819136810035893,0.5,0.47121544122558545,0.4926119207815931
1,plug_in,if,wald,uniform,50,147,0.5195020663340425,0.5,0.5078616149740011,0.5311425176940839
1,plug_in,if,wald,uniform,50,152,0.5063934113050312,0.5,0.49640177225275417,0.5163850503573083
1,plug_in,if,wald,uniform,50,153,0.49451928481876783,0.5,0.482295988233785,0.5067425814037506
1,plug_in,if,wald,uniform,50,154,0.5516434486030337,0.5,0.5406704873852849,0.5626164098207825
1,plug_in,if,wald,uniform,50,155,0.45769266850512036,0.5,0.44610567464346124,0.4692796623667795
1,plug_in,if,wald,uniform,50,156,0.47202004294359984,0.5,0.46034397737633,0.4836961085108697
1,plug_in,if,wald,uniform,50,157,0.4724915815216148,0.5,0.46116925065495395,0.48381391238827565
1,plug_in,if,wald,uniform,50,158,0.4871707063099195,0.5,0.47680688775858604,0.49753452486125294
1,plug_in,if,wald,uniform,50,159,0.49887338961429784,0.5,0.4887997580156385,0.5089470212129571
