n_oracle,n_audit,policy,rep,omega_estimator,audit_W,audit_p,audit_decision
1500,252,uniform,17,boot_remax_ridge,0.03889534263463557,0.9807402146894018,PASS
1500,252,uniform,17,boot_remax_no_ridge,4.283452010898634,0.11745194527326586,PASS
1500,252,uniform,17,boot_fixed,3.137689906214401,0.20828562313191712,PASS
1500,237,uniform,19,analytical,3.694413852764321,0.1576769551900472,PASS
1500,237,uniform,19,boot_remax_ridge,0.41322401177894336,0.8133351580271825,PASS
1500,237,uniform,19,boot_remax_no_ridge,5.415755696072748,0.0666781578612986,PASS
1500,237,uniform,19,boot_fixed,3.5740523859233924,0.16745741598556285,PASS
1500,265,uniform,18,analytical,0.4790191057115757,0.7870137550771438,PASS
1500,265,uniform,18,boot_remax_ridge,0.04284081169483827,0.9788073817128327,PASS
1500,265,uniform,18,boot_remax_no_ridge,0.8046909795034234,0.6687496596198514,PASS
1500,265,uniform,18,boot_fixed,0.5045331256592968,0.7770375811236346,PASS
1500,237,uniform,20,analytical,2.385201150878136,0.30343114155123296,PASS
1500,237,uniform,20,boot_remax_ridge,0.12892950083594523,0.9375691626006797,PASS
1500,237,uniform,20,boot_remax_no_ridge,2.211715463084904,0.3309269140227378,PASS
1500,237,uniform,20,boot_fixed,2.293446952337655,0.31767593880176204,PASS
1500,247,uniform,21,analytical,1.9428799314480454,0.3785375643479807,PASS
1500,247,uniform,21,boot_remax_ridge,0.12371234294057722,0.9400180784867753,PASS
1500,247,uniform,21,boot_remax_no_ridge,1.9986560956653623,0.36812672163026516,PASS
1500,247,uniform,21,boot_fixed,1.8910082735431604,0.38848367262161176,PASS
1500,260,uniform,23,analytical,3.4995638165501637,0.17381184624251045,PASS
1500,260,uniform,23,boot_remax_ridge,0.17765914560498436,0.9150015014285049,PASS
1500,260,uniform,23,boot_remax_no_ridge,4.8691614822855325,0.08763448087933523,PASS
1500,260,uniform,23,boot_fixed,3.362949033703828,0.1860993669785802,PASS
1500,258,uniform,22,analytical,1.19020628997793,0.5515056778869654,PASS
1500,258,uniform,22,boot_remax_ridge,0.08154422550525883,0.9600478876912721,PASS
1500,258,uniform,22,boot_remax_no_ridge,0.9305183753012696,0.6279723214241277,PASS
1500,258,uniform,22,boot_fixed,1.1786587157207948,0.5546991646560167,PASS
1500,295,uniform,24,analytical,0.5569730305112871,0.756928474668064,PASS
1500,295,uniform,24,boot_remax_ridge,0.00690088351215667,0.9965555041774127,PASS
1500,295,uniform,24,boot_remax_no_ridge,0.4565821775692917,0.7958925507178299,PASS
1500,295,uniform,24,boot_fixed,0.5492765251115153,0.7598469386060516,PASS
1500,237,uniform,25,analytical,3.0321830405158465,0.2195683906550605,PASS
1500,237,uniform,25,boot_remax_ridge,0.0008189090132672479,0.999590629308423,PASS
1500,237,uniform,25,boot_remax_no_ridge,3.988358199667153,0.1361253536389756,PASS
1500,237,uniform,25,boot_fixed,3.2344911594155565,0.19844454667791556,PASS
1500,253,uniform,27,analytical,2.0241007960970263,0.36347295077593855,PASS
1500,253,uniform,27,boot_remax_ridge,0.02741398415707212,0.9863865209888345,PASS
1500,253,uniform,27,boot_remax_no_ridge,2.110739651876544,0.34806368052348713,PASS
1500,253,uniform,27,boot_fixed,2.2699110722805984,0.3214364133202353,PASS
1500,247,uniform,26,analytical,6.105394497398914,0.04723135771078946,REFUSE-LEVEL
1500,247,uniform,26,boot_remax_ridge,0.21791873126072372,0.8967668563138149,PASS
1500,247,uniform,26,boot_remax_no_ridge,5.198685582025607,0.07432240752121966,PASS
