policy,seed,oracle_coverage,n_oracle,n_eval,alpha,mean,mean_se,mean_ci_lo,mean_ci_hi,oracle_truth,cvar,cvar_ci_lo,cvar_ci_hi,cvar_t_hat,cvar_empirical_truth,audit_p_value,audit_reject,n_bootstrap_failures
premium,5,0.25,1247,5000,0.05,0.7680729407965377,0.0023249655007304528,0.7616178017122809,0.7745280798807944,0.76226,0.16761291049186922,0.14236552168653033,0.19446849931302182,0.25906000000000007,0.18,0.627310929857299,false,0
premium,5,0.25,1247,5000,0.1,0.7680729407965377,0.0023249655007304528,0.7616178017122809,0.7745280798807944,0.76226,0.24841344239404006,0.22249762357729322,0.27764499213733257,0.3988,0.2567366412213741,0.8451034842663099,false,0
premium,5,0.25,1247,5000,0.2,0.7680729407965377,0.0023249655007304528,0.7616178017122809,0.7745280798807944,0.76226,0.3722073899359792,0.3451961212229642,0.3999762861461432,0.5987200000000001,0.39660808435852374,0.9476272079960117,false,0
parallel_universe_prompt,5,0.25,1247,5000,0.01,0.774451190997663,0.0024834493265287385,0.7675560302710156,0.7813463517243104,0.770834,0.05977464405677755,0.041893243956719464,0.08324673936602257,0.08433333333333337,0.07903846153846153,0.23968792655346338,false,0
parallel_universe_prompt,5,0.25,1247,5000,0.05,0.774451190997663,0.0024834493265287385,0.7675560302710156,0.7813463517243104,0.770834,0.167361155499521,0.14200421651915224,0.19367274560623463,0.25906000000000007,0.17513944223107572,0.8126108950904619,false,0
parallel_universe_prompt,5,0.25,1247,5000,0.1,0.774451190997663,0.0024834493265287385,0.7675560302710156,0.7813463517243104,0.770834,0.2515469357552106,0.2233731914555153,0.2780083407212411,0.3988,0.26734463276836157,0.6092380501378869,false,0
parallel_universe_prompt,5,0.25,1247,5000,0.2,0.774451190997663,0.0024834493265287385,0.7675560302710156,0.7813463517243104,0.770834,0.37894217215436665,0.35023939755952194,0.4046908574264224,0.5987200000000001,0.4058043875685558,0.8108613381382227,false,0
unhelpful,5,0.25,1247,5000,0.01,0.48141795338868976,0.06878251205537533,0.2904470844693347,0.6723888223080448,0.142636,-0.00216666666666665,-0.017640409593749923,0.04694666666666653,-0.00216666666666665,0.0,0.9958163153379954,false,0
unhelpful,5,0.25,1247,5000,0.05,0.48141795338868976,0.06878251205537533,0.2904470844693347,0.6723888223080448,0.142636,0.00889486242424244,-0.011065498039215693,0.055912023339286035,0.030953333333333388,0.0,0.011171005295167347,true,0
unhelpful,5,0.25,1247,5000,0.1,0.48141795338868976,0.06878251205537533,0.2904470844693347,0.6723888223080448,0.142636,0.029977456509553226,-0.0013230753535353574,0.07048884605720669,0.07032,0.0,2.220446049250313e-16,true,0
unhelpful,5,0.25,1247,5000,0.2,0.48141795338868976,0.06878251205537533,0.2904470844693347,0.6723888223080448,0.142636,0.051260164514031835,0.020173243137355846,0.10715867045980393,0.09104000000000012,0.0,0.0,true,0
clone,6,0.25,1247,5000,0.01,0.7711822175247153,0.00249337494408554,0.7642594988657861,0.7781049361836444,0.7619779999999999,0.08181662991865304,0.0591131250542347,0.10926335285337284,0.11316666666666675,0.072,0.6142478213911855,false,0
clone,6,0.25,1247,5000,0.05,0.7711822175247153,0.00249337494408554,0.7642594988657861,0.7781049361836444,0.7619779999999999,0.18352667532014644,0.15633237675771747,0.20871698777731906,0.276,0.16924603174603173,0.4592728503645487,false,0
clone,6,0.25,1247,5000,0.1,0.7711822175247153,0.00249337494408554,0.7642594988657861,0.7781049361836444,0.7619779999999999,0.26358769001879684,0.23809631436773523,0.2901006203051387,0.4042,0.2689667250437829,0.41894088513899475,false,0
clone,6,0.25,1247,5000,0.2,0.7711822175247153,0.00249337494408554,0.7642594988657861,0.7781049361836444,0.7619779999999999,0.3868386432410195,0.35975967365859857,0.4144860869050195,0.5833333333333334,0.3763565891472868,0.48970354525652093,false,0
premium,6,0.25,1247,5000,0.01,0.7753556020914428,0.002680940064368891,0.7679121191723972,0.7827990850104884,0.76226,0.08060198808172532,0.05720876849270133,0.10847098697054328,0.11316666666666675,0.09015151515151514,0.9985456446039587,false,0
premium,6,0.25,1247,5000,0.05,0.7753556020914428,0.002680940064368891,0.7679121191723972,0.7827990850104884,0.76226,0.1845211588489578,0.16009303063028985,0.21416789107101208,0.276,0.18,0.9612478441118487,false,0
premium,6,0.25,1247,5000,0.1,0.7753556020914428,0.002680940064368891,0.7679121191723972,0.7827990850104884,0.76226,0.26625539523234076,0.23969330240202458,0.29388029988938624,0.4042,0.2567366412213741,0.12592424570649108,false,0
premium,6,0.25,1247,5000,0.2,0.7753556020914428,0.002680940064368891,0.7679121191723972,0.7827990850104884,0.76226,0.39040738500401806,0.3639481687818261,0.41693702867974813,0.5833333333333334,0.39660808435852374,0.20769165051169147,false,0
parallel_universe_prompt,6,0.25,1247,5000,0.01,0.7834313252239754,0.0026142149675672808,0.7761731008733385,0.7906895495746123,0.770834,0.081469934307605,0.059363420849929474,0.10930398170804269,0.11316666666666675,0.07903846153846153,0.9741785441855693,false,0
parallel_universe_prompt,6,0.25,1247,5000,0.05,0.7834313252239754,0.0026142149675672808,0.7761731008733385,0.7906895495746123,0.770834,0.18631022417746343,0.1611710668817526,0.2149670712162357,0.276,0.17513944223107572,0.6856600081703222,false,0
parallel_universe_prompt,6,0.25,1247,5000,0.1,0.7834313252239754,0.0026142149675672808,0.7761731008733385,0.7906895495746123,0.770834,0.2700641628461203,0.2439655921856932,0.2954456385316327,0.4042,0.26734463276836157,0.7740945438797646,false,0
parallel_universe_prompt,6,0.25,1247,5000,0.2,0.7834313252239754,0.0026142149675672808,0.7761731008733385,0.7906895495746123,0.770834,0.396456687631047,0.3725041835159194,0.42074421430901626,0.6100000000000001,0.4058043875685558,0.3734931508909588,false,0
unhelpful,6,0.25,1247,5000,0.01,0.4754331251411348,0.05629233404604585,0.31914054981883166,0.6317257004634379,0.142636,0.026666666666666727,0.007723999999999953,0.08053824862872103,0.026666666666666727,0.0,0.0015349677051107458,true,0
unhelpful,6,0.25,1247,5000,0.05,0.4754331251411348,0.05629233404604585,0.31914054981883166,0.6317257004634379,0.142636,0.02400000000000002,0.013000000000000012,0.09264414063948714,0.02400000000000002,0.0,4.440892098500626e-16,true,0
unhelpful,6,0.25,1247,5000,0.1,0.4754331251411348,0.05629233404604585,0.31914054981883166,0.6317257004634379,0.142636,0.03586507793175852,0.020000000000000018,0.09050387295670663,0.0463533333333333,0.0,0.00011771385645942267,true,0
unhelpful,6,0.25,1247,5000,0.2,0.4754331251411348,0.05629233404604585,0.31914054981883166,0.6317257004634379,0.142636,0.05762123675747256,0.028433974672199568,0.13056493407862327,0.10333333333333339,0.0,0.0,true,0
clone,7,0.25,1247,5000,0.01,0.7694445009669258,0.003177778284473051,0.7606215740035968,0.7782674279302549,0.7619779999999999,0.07728468424693863,0.054752005607237565,0.10657404778814673,0.11540133333333336,0.072,0.7120292127186347,false,0
